game_pk,at_bat_number,pitch_number,calculated_release_angle,calculated_avg_angle,release_frame,max_wrist_velocity,setup_angle,setup_std,max_pitch_angle,max_angle_frame,cocking_avg,cocking_std,accel_avg,accel_std,decel_avg,decel_std,follow_avg,follow_std,angle_range,avg_angle_change,total_analyzed_frames,output_video_path,detection_rate
776752,26,7,139.96474,89.34514,190,174.71642,83.19572,27.352217,173.1824,165.0,82.72595,55.099884,130.71146,22.758255,118.171974,16.92358,76.266235,34.86898,81.665,11.10002,388.0,videos/2025-08-13_776752_atbat_26_pitch_7_FF_4-Seam_Fastball_none_analyzed.mp4,100.0
776752,26,8,144.3048,109.56348,199,212.90158,89.2753,36.428925,179.74283,197.0,162.45757,12.508106,148.35083,6.2739816,140.89964,5.355783,154.26712,23.411753,27.837234,8.702438,299.0,videos/2025-08-13_776752_atbat_26_pitch_8_CU_Curveball_strikeout_analyzed.mp4,70.89201877934272
776752,35,1,128.19664,113.39971,204,219.2854,86.16729,37.406013,178.37248,195.0,136.60251,23.582777,129.62863,16.872545,140.02956,6.593231,169.57343,3.6580741,39.035477,9.123789,332.0,videos/2025-08-13_776752_atbat_35_pitch_1_CU_Curveball_none_analyzed.mp4,80.14354066985646
776752,35,2,167.5998,110.96939,201,227.896,79.68829,30.080385,171.36229,175.0,132.22119,35.081318,152.47777,8.570072,141.90747,4.501145,159.06062,18.021156,9.4300995,9.093863,317.0,videos/2025-08-13_776752_atbat_35_pitch_2_ST_Sweeper_none_analyzed.mp4,85.37234042553192
776752,35,3,156.83182,85.56876,201,205.50581,82.925735,30.14819,178.32065,163.0,104.24873,45.278873,113.24919,30.713373,86.49474,53.3015,59.98058,31.948868,19.246399,10.779372,345.0,videos/2025-08-13_776752_atbat_35_pitch_3_FF_4-Seam_Fastball_none_analyzed.mp4,88.57868020304569
776752,35,4,173.53119,125.13897,187,170.07681,95.29083,36.202866,179.76427,173.0,149.45511,22.958027,133.99318,18.683157,164.82509,7.9751043,142.10248,39.325024,76.224205,13.57194,462.0,videos/2025-08-13_776752_atbat_35_pitch_4_FF_4-Seam_Fastball_none_analyzed.mp4,54.40835266821345
776752,35,5,162.01276,123.59347,203,201.02245,92.91664,15.256833,178.55965,152.0,163.30206,9.527454,118.06457,18.220953,171.2862,7.6281824,144.91884,39.57001,76.07382,7.480838,410.0,videos/2025-08-13_776752_atbat_35_pitch_5_FF_4-Seam_Fastball_strikeout_analyzed.mp4,91.20171673819742
776752,36,1,161.9658,100.722786,204,206.35495,97.22487,23.630892,178.33905,173.0,125.24941,38.521355,134.52258,7.374045,89.95824,46.268387,81.21789,19.04766,60.017204,7.206203,324.0,videos/2025-08-13_776752_atbat_36_pitch_1_FF_4-Seam_Fastball_none_analyzed.mp4,89.11917098445595
776752,36,2,178.80057,108.542885,197,168.33733,98.86549,26.769821,178.80057,190.0,140.69203,36.324017,122.490616,26.277721,149.76726,11.279773,106.96873,44.593872,14.834244,12.208965,376.0,videos/2025-08-13_776752_atbat_36_pitch_2_ST_Sweeper_none_analyzed.mp4,100.0
776752,36,3,152.78696,121.18738,235,110.56178,98.58033,22.268381,177.32753,171.0,135.18701,35.23451,167.39935,5.131808,165.23994,15.103005,129.82056,47.095425,24.136276,8.059343,328.0,videos/2025-08-13_776752_atbat_36_pitch_3_ST_Sweeper_field_out_analyzed.mp4,97.58064516129032
776752,37,1,143.4927520751953,110.78982543945312,197,182.139877319336,96.91211700439452,19.26099967956543,179.1001739501953,86.0,160.24197387695312,9.574129104614258,175.38177490234375,6.726685523986816,48.83818435668945,30.342182159423828,99.0297393798828,8.625457763671875,4.2045745849609375,9.523460388183594,279.0,videos/2025-08-13_776752_atbat_37_pitch_1_FS_Split-Finger_none_analyzed.mp4,75.13227513227513
776752,37,2,67.44107055664062,120.94313049316406,704,348.7475891113281,,,,,,,,,,,,,,,,videos/2025-08-13_776752_atbat_37_pitch_2_FF_4-Seam_Fastball_none_analyzed.mp4,46.77835051546392
776752,37,3,175.16595458984375,127.44126892089844,204,226.9545745849609,97.9915008544922,27.43758583068848,179.10560607910156,199.0,167.15530395507812,10.113934516906738,144.24693298339844,19.559932708740234,150.4998321533203,28.997886657714844,161.11647033691406,9.559988021850586,18.34321594238281,5.9599609375,396.0,videos/2025-08-13_776752_atbat_37_pitch_3_FF_4-Seam_Fastball_none_analyzed.mp4,73.80952380952381
776752,37,4,117.2175064086914,102.12586212158205,170,96.42613220214844,105.64013671875,32.86591720581055,178.7733154296875,102.0,142.91905212402344,26.23485946655273,120.970458984375,6.2067646980285645,55.74386978149414,36.76477813720703,17.064977645874023,7.535156726837158,56.18406677246094,8.627432823181152,255.0,videos/2025-08-13_776752_atbat_37_pitch_4_FF_4-Seam_Fastball_none_analyzed.mp4,61.48325358851675
776752,37,5,158.6167755126953,117.26505279541016,205,162.60398864746094,97.24455261230467,26.7382755279541,179.73756408691406,193.0,151.64901733398438,43.40842056274414,129.54010009765625,13.742311477661133,159.78317260742188,11.344733238220217,133.5850067138672,30.721923828125,87.64732360839844,7.217947006225586,381.0,videos/2025-08-13_776752_atbat_37_pitch_5_SL_Slider_none_analyzed.mp4,90.50925925925924
776752,37,6,149.99887084960938,96.04161834716795,396,210.54910278320312,,,,,,,,,,,,,,,,videos/2025-08-13_776752_atbat_37_pitch_6_SL_Slider_strikeout_analyzed.mp4,66.46341463414635
776752,38,1,28.13029861450196,102.8179168701172,203,198.6550445556641,88.76986694335938,13.583736419677734,175.27349853515625,156.0,156.17959594726562,12.627784729003906,153.38381958007812,10.812419891357422,114.9447784423828,17.03976058959961,97.01809692382812,62.80643844604492,30.77748107910156,7.875748634338379,367.0,videos/2025-08-13_776752_atbat_38_pitch_1_ST_Sweeper_none_analyzed.mp4,88.26291079812206
776752,38,2,174.95106506347656,118.08015441894533,193,188.9886779785156,86.2056884765625,15.976051330566406,176.03033447265625,153.0,162.88162231445312,10.462651252746582,118.2987289428711,21.61382484436035,131.07879638671875,9.559147834777832,153.27447509765625,17.865907669067383,65.18783569335938,8.335694313049316,375.0,videos/2025-08-13_776752_atbat_38_pitch_2_ST_Sweeper_none_analyzed.mp4,30.77544426494346
