state,re_value,sample_size
2-2-0-1-0-1,1.868421052631579,38
2-2-0-1-1-0,1.3941605839416058,137
2-2-0-1-1-1,1.911764705882353,34
2-2-1-0-0-0,0.19177350427350429,1872
2-2-1-0-0-1,0.8152173913043478,92
2-2-1-0-1-0,0.6101694915254238,295
2-2-1-0-1-1,1.6,75
2-2-1-1-0-0,0.6067615658362989,562
2-2-1-1-0-1,1.12,75
2-2-1-1-1-0,0.8429319371727748,191
2-2-1-1-1-1,1.3287671232876712,73
2-2-2-0-0-0,0.08108108108108109,1628
2-2-2-0-0-1,0.17985611510791366,139
2-2-2-0-1-0,0.24479166666666666,384
2-2-2-0-1-1,0.4745762711864407,118
2-2-2-1-0-0,0.17092337917485265,509
2-2-2-1-0-1,0.25,84
2-2-2-1-1-0,0.383399209486166,253
2-2-2-1-1-1,0.7093023255813954,86
3-0-0-0-0-0,0.7254098360655737,244
3-0-0-0-0-1,2.0,3
3-0-0-0-1-0,0.8717948717948718,39
3-0-0-0-1-1,2.0,6
3-0-0-1-0-0,1.1935483870967742,62
3-0-0-1-0-1,4.0,3
3-0-0-1-1-0,2.0,10
3-0-0-1-1-1,2.5,2
3-0-1-0-0-0,0.42857142857142855,189
3-0-1-0-0-1,1.0,23
3-0-1-0-1-0,0.7560975609756098,41
3-0-1-0-1-1,1.75,24
3-0-1-1-0-0,0.6818181818181818,88
3-0-1-1-0-1,1.6363636363636365,11
3-0-1-1-1-0,1.4375,32
3-0-1-1-1-1,2.0,9
3-0-2-0-0-0,0.12962962962962962,162
3-0-2-0-0-1,0.5172413793103449,29
3-0-2-0-1-0,0.5466666666666666,75
3-0-2-0-1-1,1.1111111111111112,18
3-0-2-1-0-0,0.26744186046511625,86
3-0-2-1-0-1,0.06666666666666667,15
3-0-2-1-1-0,0.6363636363636364,22
3-0-2-1-1-1,2.7058823529411766,17
3-1-0-0-0-0,0.6757741347905283,549
3-1-0-0-0-1,2.0,5
3-1-0-0-1-0,1.1153846153846154,52
3-1-0-0-1-1,2.75,8
3-1-0-1-0-0,1.0336134453781514,119
3-1-0-1-0-1,2.5,12
3-1-0-1-1-0,2.0,26
3-1-0-1-1-1,3.3333333333333335,3
3-1-1-0-0-0,0.3795454545454545,440
3-1-1-0-0-1,1.0303030303030303,33
3-1-1-0-1-0,0.9591836734693877,98
3-1-1-0-1-1,1.1363636363636365,22
3-1-1-1-0-0,0.625,160
3-1-1-1-0-1,2.25,24
3-1-1-1-1-0,1.2962962962962963,54
